login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
championswimmer,championswimmer/android_iot_tensorflow,2017-10-07T14:00:14Z,0,0,,True,True,
championswimmer,championswimmer/android_kernel_sony_huashan,2014-03-05T17:13:22Z,0,0,C,True,True,other
championswimmer,championswimmer/android_kernel_sony_msm8260,2013-07-06T22:20:04Z,0,0,C,True,True,other
championswimmer,championswimmer/android_kernel_sony_msm8930,2013-05-28T17:54:26Z,2,2,C,True,True,other
championswimmer,championswimmer/android_kernel_sony_msm8960T,2013-09-23T17:10:48Z,0,0,C,True,True,other
championswimmer,championswimmer/android_kernel_sony_seagull,2015-03-03T18:16:22Z,0,0,C,True,True,other
championswimmer,championswimmer/Angular101,2016-02-06T09:11:41Z,0,0,,True,True,
championswimmer,championswimmer/API_DB_Design_2024-03-15,2024-03-14T19:07:50Z,3,3,,True,True,
championswimmer,championswimmer/AppDesk-NodeJS-Session-01,2021-02-12T08:55:29Z,2,2,JavaScript,True,True,
championswimmer,championswimmer/AppIntro,2016-02-25T23:39:15Z,0,0,Java,True,True,apache-2.0
championswimmer,championswimmer/Applications,2016-04-08T21:49:52Z,0,0,JavaScript,True,True,
arpitbbhayani,arpitbbhayani/1d-terrain,2020-11-14T08:32:12Z,1,1,Jupyter Notebook,True,True,
arpitbbhayani,arpitbbhayani/abloom,2022-10-19T05:12:12Z,38,38,Go,True,True,apache-2.0
arpitbbhayani,arpitbbhayani/aps_src,2013-10-01T16:09:21Z,0,0,C,True,True,
arpitbbhayani,arpitbbhayani/arcli,2017-11-06T02:45:26Z,0,0,JavaScript,True,True,
arpitbbhayani,arpitbbhayani/arlt,2018-09-13T09:27:30Z,3,3,Go,True,True,
arpitbbhayani,arpitbbhayani/arp,2020-02-14T13:17:23Z,0,0,Python,True,True,
arpitbbhayani,arpitbbhayani/arpitbbhayani,2020-07-09T15:42:55Z,1,1,,True,True,
arpitbbhayani,arpitbbhayani/arpitbbhayani.github.io,2015-07-16T15:50:05Z,2,2,HTML,True,True,
arpitbbhayani,arpitbbhayani/articles,2019-08-15T17:51:34Z,9,9,C++,True,True,
arpitbbhayani,arpitbbhayani/articulate,2014-04-18T15:12:28Z,1,1,Java,True,True,
arpitbbhayani,arpitbbhayani/artisen,2020-06-17T12:48:10Z,0,0,Python,True,True,
arpitbbhayani,arpitbbhayani/arws,2021-09-08T10:19:04Z,0,0,Python,True,True,
arpitbbhayani,arpitbbhayani/arx,2021-02-24T04:43:11Z,0,0,Python,True,True,
arpitbbhayani,arpitbbhayani/arxiv-download,2017-07-04T05:20:01Z,2,2,Python,True,True,
arpitbbhayani,arpitbbhayani/awesome-flask,2016-11-07T12:01:33Z,0,0,,True,False,
arpitbbhayani,arpitbbhayani/awesome-obsidian,2021-10-04T07:54:49Z,0,0,CSS,True,False,cc0-1.0
arpitbbhayani,arpitbbhayani/awesome-obsidian-plugins,2021-10-04T07:54:41Z,0,0,,True,True,cc0-1.0
arpitbbhayani,arpitbbhayani/badger-cli,2018-07-15T12:38:19Z,3,3,Go,True,True,
arpitbbhayani,arpitbbhayani/boilr-base-express-app,2017-12-15T11:56:48Z,0,0,JavaScript,True,True,
arpitbbhayani,arpitbbhayani/bulma-calendar,2021-06-30T09:08:14Z,0,0,JavaScript,True,True,mit
arpitbbhayani,arpitbbhayani/byte-pair-tokenization,2022-12-09T11:37:16Z,0,0,Python,True,True,
arpitbbhayani,arpitbbhayani/carte,2016-02-25T14:18:00Z,0,0,JavaScript,True,True,mit
arpitbbhayani,arpitbbhayani/catdb,2024-02-08T09:38:28Z,0,0,,True,True,
arpitbbhayani,arpitbbhayani/cerr,2019-11-20T17:06:30Z,0,0,Go,True,True,
arpitbbhayani,arpitbbhayani/chrome-extension,2014-03-18T09:15:42Z,0,0,JavaScript,True,True,
arpitbbhayani,arpitbbhayani/codechef,2016-01-04T05:20:37Z,0,0,C++,True,True,
arpitbbhayani,arpitbbhayani/CodeFlask.js,2017-06-27T07:36:16Z,0,0,JavaScript,True,True,mit
arpitbbhayani,arpitbbhayani/concurrency-in-depth,2023-05-08T13:14:40Z,113,113,Go,True,True,
arpitbbhayani,arpitbbhayani/concurrency-with-semaphores,2022-08-08T16:24:17Z,15,15,C,True,True,
arpitbbhayani,arpitbbhayani/consistent-hashing,2020-05-20T15:52:15Z,29,29,Jupyter Notebook,True,True,
manjunath5496,manjunath5496/10-AI-Papers-That-Made-an-Impact,2021-02-15T07:47:00Z,3,3,,True,True,
manjunath5496,manjunath5496/10-Best-Ecommerce-Research-Papers,2021-07-11T12:16:32Z,9,9,,True,True,
manjunath5496,manjunath5496/10-Computer-Scientists-Who-Made-History,2020-09-28T06:23:01Z,2,2,,True,True,
manjunath5496,manjunath5496/10-Computer-Vision-Papers-to-Start,2020-08-16T16:14:01Z,4,4,,True,True,
manjunath5496,manjunath5496/10-Cutting-Edge-Research-Papers-In-Computer-Vision-and-Image-Generation,2019-11-01T04:21:47Z,8,8,,True,True,
manjunath5496,manjunath5496/10-EdTech-research-papers,2020-08-06T14:27:45Z,1,1,,True,True,
manjunath5496,manjunath5496/10-Exciting-NeurIPS-Conference-Papers,2020-08-16T13:45:58Z,1,1,,True,True,
manjunath5496,manjunath5496/10-extraordinary-Nature-papers,2020-07-16T17:56:46Z,3,3,,True,True,
manjunath5496,manjunath5496/10-Great-Popular-Science-Books,2019-11-10T00:38:19Z,4,4,,True,True,
manjunath5496,manjunath5496/10-Important-AI-Research-Papers,2019-11-06T17:03:21Z,1,1,,True,True,
manjunath5496,manjunath5496/10-Important-Research-Papers-In-Conversational-AI,2020-07-17T17:35:28Z,1,1,,True,True,
manjunath5496,manjunath5496/10-Interesting-ICML-Papers,2020-08-16T11:13:38Z,5,5,,True,True,
manjunath5496,manjunath5496/10-Most-Famous-Clinical-Psychologists-of-All-Time,2020-09-17T06:30:01Z,4,4,,True,True,
manjunath5496,manjunath5496/10-Must-Read-Fintech-Regtech-and-Blockchain-Research-Papers,2020-08-27T09:18:22Z,6,6,,True,True,
manjunath5496,manjunath5496/10-Must-Read-Technical-Papers-On-NLP,2020-08-06T15:03:35Z,3,3,,True,True,
manjunath5496,manjunath5496/10-Papers-Every-Developer-Should-Read,2020-08-06T10:50:00Z,4,4,,True,True,
manjunath5496,manjunath5496/10-Papers-Every-Software-Architect-Should-Read,2020-08-27T09:35:01Z,4,4,,True,True,
manjunath5496,manjunath5496/100-Days-of-Machine-Learning-Tutorial,2021-01-17T02:11:09Z,22,22,,True,True,
manjunath5496,manjunath5496/100-most-influential-people-in-the-world,2020-12-16T04:14:12Z,3,3,,True,True,
manjunath5496,manjunath5496/100-Most-Influential-Scientists-Who-Shaped-World-History,2019-07-11T05:20:55Z,1,1,,True,True,
manjunath5496,manjunath5496/100-plus-Python-programming-exercises-extended,2019-07-18T17:04:31Z,7,7,,True,True,
manjunath5496,manjunath5496/103-C-Plus-Plus-Programs,2021-10-28T17:21:07Z,9,9,,True,True,
manjunath5496,manjunath5496/106-Java-Programs,2021-10-31T18:56:01Z,15,15,,True,True,
manjunath5496,manjunath5496/11-DL-Papers-You-Need-To-Know-About-Understanding-CNNs,2020-08-16T16:36:22Z,1,1,,True,True,
manjunath5496,manjunath5496/11-Great-Computational-Biology-Papers,2020-12-09T11:08:26Z,3,3,,True,True,
manjunath5496,manjunath5496/11-Important-Papers-Every-Programmer-Should-Know,2021-05-08T09:50:58Z,6,6,,True,True,
manjunath5496,manjunath5496/11-Technical-Papers-Every-Programmer-Should-Read,2019-11-01T01:02:11Z,7,7,,True,True,
manjunath5496,manjunath5496/110-Good-Books-to-Read,2019-11-08T09:11:55Z,6,6,,True,True,
